Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Precious Achiuwa,C,23,TOR,55,1140,15.2,.554,.267,.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,0.8,1.4,2.2,.093,-1.4,-0.8,-2.3,-0.1,2023
Steven Adams,C,29,MEM,42,1133,17.5,.564,.004,.490,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,1.3,2.1,3.4,.144,-0.3,0.9,0.6,0.7,2023
Bam Adebayo,C,25,MIA,75,2598,20.1,.592,.011,.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,.137,0.8,0.8,1.5,2.3,2023
Ochai Agbaji,SG,22,UTA,59,1209,9.5,.561,.591,.179,3.9,6.9,5.4,7.5,0.6,1.0,9.0,15.8,0.9,0.4,1.3,.053,-1.7,-1.4,-3.0,-0.3,2023
Santi Aldama,PF,22,MEM,77,1682,13.9,.591,.507,.274,5.4,18.0,11.7,7.6,1.3,2.6,9.3,16.0,2.1,2.4,4.6,.130,-0.3,0.8,0.5,1.1,2023
Nickeil Alexander-Walker,SG,24,TOT,59,884,11.6,.565,.539,.203,1.9,10.5,6.3,16.7,1.7,2.0,14.6,17.9,0.3,0.8,1.1,.062,-1.4,0.4,-0.9,0.2,2023
Nickeil Alexander-Walker,SG,24,UTA,36,528,13.0,.609,.512,.229,1.7,10.3,6.0,19.9,2.2,2.2,19.4,18.4,0.3,0.5,0.8,.074,-0.6,1.1,0.5,0.3,2023
Nickeil Alexander-Walker,SG,24,MIN,23,356,9.6,.503,.576,.168,2.2,10.8,6.6,12.0,1.1,1.7,6.9,17.3,0.0,0.3,0.3,.044,-2.5,-0.5,-3.0,-0.1,2023
Grayson Allen,SG,27,MIL,72,1972,12.3,.612,.657,.226,3.4,9.0,6.3,10.9,1.5,0.6,10.5,14.6,2.8,2.2,5.1,.123,-0.6,0.7,0.1,1.0,2023
Jarrett Allen,C,24,CLE,68,2220,19.9,.670,.016,.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,5.5,4.0,9.5,.205,1.3,1.0,2.4,2.4,2023
Jose Alvarado,PG,24,NOP,61,1310,11.8,.525,.505,.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,0.1,1.7,1.8,.066,-2.0,0.7,-1.2,0.3,2023
Kyle Anderson,PF,29,MIN,69,1957,14.8,.583,.212,.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,2.5,2.6,5.1,.125,0.2,2.3,2.5,2.2,2023
Giannis Antetokounmpo,PF,28,MIL,63,2024,29.0,.605,.134,.604,7.3,30.0,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,.204,5.8,2.7,8.5,5.4,2023
